Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,MURS1,151.820000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,MURS2,151.880000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,MURS3,151.940000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,RED,151.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,PURPLE,151.995000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,BLUE,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,GREEN,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,VHF1,151.512500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,VHF2,151.685000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,VHF3,151.715000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,VHF4,151.760000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,VHF5,151.805000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,VHF6,151.865000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,VHF7,151.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,VHF8,152.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,VHF9,152.945000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,VHF10,154.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,VHF11,154.527500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,VHF12,154.547500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,VHF13,158.407500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
22,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
24,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
27,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
28,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,GMRS2,462.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,GMRS3,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,GMRS4,462.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,GMRS5,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,GMRS6,462.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
