Output,Output Tone/NAC,Channel Name,Mode,Comments
162.825,,162.825,FMN,
162.8250,$107,162.825,P25,
162.85,,162.85,FMN,
162.875,031,162.875,FMN,
162.9,,162.9,FMN,
162.925,,162.925,FMN,
162.975,,162.975,FMN,
163.05,,163.05,FMN,
163.125,,163.125,FMN,
163.375,,163.375,FMN,
163.55,,163.55,FMN,
163.6,,163.6,FMN,
163.625,,163.625,FMN,Nationwide primary channel
163.6625,,163.6625,FMN,
163.675,,163.675,FMN,
163.725,,163.725,FMN,
163.775,,163.775,FMN,
163.825,,163.825,FMN,
163.8875,,163.8875,FMN,
163.9625,,163.9625,FMN,
164.05,,164.05,FMN,
165.4125,,165.4125,FMN,
165.825,,165.825,FMN,
165.85,,165.85,FMN,
165.8625,,165.8625,FMN,
165.9,,165.9,FMN,
165.925,,165.925,FMN,
165.975,,165.975,FMN,
166.2,,166.2,FMN,
166.85,,166.85,FMN,
167.7000,$521,167.7000 D,P25,
168.8,,168.8,FMN,
168.825,,168.825,FMN,
168.85,,168.85,FMN,
168.8625,,168.8625,FMN,
168.875,,168.875,FMN,
168.9,,168.9,FMN,
168.925,,168.925,FMN,
168.95,,168.95,FMN,
169.6000,$303,169.6000,P25,
169.9125,$310,169.9125 D,P25,
169.9375,$302,169.9375,P25,
170.1,,170.100,FMN,
170.35,,170.35,FMN,
170.6000,$301,170.6000,P25,
170.625,,170.625,FMN,
170.6750,$304,170.6750,P25,
170.7250,$301,170.7250,P25,
170.7375,,170.7375,FMN,
170.75,,170.75,FMN,
170.775,,170.775,FMN,
170.825,,170.825,FMN,
170.9875,$304,170.9875,P25,
171.3125,,171.3125,FMN,
171.725,,171.725,FMN,
172.2375,$301,172.2375,P25,
172.525,,172.525,FMN,
172.7125,$303,172.7125,P25,
172.8625,$304,172.8625,P25,
173.1000,$293,173.1000 D,P25,
173.5000,$325,173.5000,P25,
173.6875,,173.6875,FMN,
173.775,,173.775,FMN,
168.8375,$293,Air 1,P25,Office of Air and Marine
168.9625,$293,Air 2,P25,Office of Air and Marine
169.2625,$293,Air 3,P25,Office of Air and Marine
169.1625,$293,Air 4,P25,Office of Air and Marine
169.3875,$293,Air 5,P25,Office of Air and Marine
163.45,$293,Air 6,P25,Office of Air and Marine
166.8875,$293,Air 7,P25,Office of Air and Marine
166.7875,$293,Air 8,P25,Office of Air and Marine
163.475,$293,Air 9,P25,Office of Air and Marine
282.425,CSQ,Air Interdiction - Blue 1,FMN,Office of Air and Marine
